"_type","drive_type","engine_capacity","fuel_type","id","make","manufacturer_marketing_year","model","n_cylinders","odometer","price","title","transmission","url","year"
"DealFinderItem","2WD","1.6","Petrol","Chery-J11-2014/OAG-AD-15997339","Chery","null","J11","4","43459","9990","2014 Chery J11 Auto 2WD","Auto","carsales.com.au/dealer/details/Chery-J11-2014/OAG-AD-15997339/?Cr=0","2014"
"DealFinderItem","4WD","2.0","Diesel","Great-Wall-X200-2013/OAG-AD-16010569","Great","null","Wall X200","4","46651","10990","2013 Great Wall X200 Manual 4WD","Manual","carsales.com.au/dealer/details/Great-Wall-X200-2013/OAG-AD-16010569/?Cr=1","2013"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Compass Sport","4","41971","12000","2013 Jeep Compass Sport Manual","Manual","carsales.com.au/private/details/Jeep-Compass-2013/SSE-AD-5492782/?Cr=2","2013"
"DealFinderItem","null","1.8","Petrol","null","Holden","null","Trax LS TJ","4","56000","12600","2014 Holden Trax LS TJ Manual","Manual","carsales.com.au/private/details/Holden-Trax-2014/SSE-AD-5530653/?Cr=3","2014"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Compass Sport","4","48339","12690","2014 Jeep Compass Sport Manual","Manual","carsales.com.au/private/details/Jeep-Compass-2014/SSE-AD-4739770/?Cr=4","2014"
"DealFinderItem","null","1.6","Petrol","null","Suzuki","null","S-Cross GL","4","49400","12990","2014 Suzuki S-Cross GL Auto","Auto","carsales.com.au/private/details/Suzuki-S-Cross-2014/SSE-AD-5495277/?Cr=5","2014"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2014/OAG-AD-16169937","Holden","null","Trax LS TJ","4","46229","12990","2014 Holden Trax LS TJ Auto","Auto","carsales.com.au/dealer/details/Holden-Trax-2014/OAG-AD-16169937/?Cr=6","2014"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Patriot Sport","4","50000","13500","2015 Jeep Patriot Sport Manual 4x2","Manual","carsales.com.au/private/details/Jeep-Patriot-2015/SSE-AD-5035558/?Cr=7","2015"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Patriot Sport","4","58000","13500","2015 Jeep Patriot Sport Auto 4x2","Auto","carsales.com.au/private/details/Jeep-Patriot-2015/SSE-AD-5426095/?Cr=8","2015"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Compass Sport","4","50000","13500","2013 Jeep Compass Sport Auto","Auto","carsales.com.au/private/details/Jeep-Compass-2013/SSE-AD-5526678/?Cr=9","2013"
"DealFinderItem","null","2.0","Petrol","Jeep-Patriot-2013/OAG-AD-16113447","Jeep","null","Patriot Sport","4","25175","13880","2013 Jeep Patriot Sport Manual 4x2","Manual","carsales.com.au/dealer/details/Jeep-Patriot-2013/OAG-AD-16113447/?Cr=10","2013"
"DealFinderItem","2WD","2.0","Petrol","null","Peugeot","null","4008 Active","4","48642","13950","2013 Peugeot 4008 Active Auto 2WD","Auto","carsales.com.au/private/details/Peugeot-4008-2013/SSE-AD-5225494/?Cr=11","2013"
"DealFinderItem","null","2.0","Petrol","Jeep-Patriot-2014/OAG-AD-16133651","Jeep","null","Patriot Sport","4","53304","13988","2014 Jeep Patriot Sport Auto 4x2","Auto","carsales.com.au/dealer/details/Jeep-Patriot-2014/OAG-AD-16133651/?Cr=12","2014"
"DealFinderItem","2WD","2.0","Petrol","Nissan-X-Trail-2013/OAG-AD-16173892","Nissan","null","X-Trail ST T31","4","45115","13990","2013 Nissan X-Trail ST T31 Manual 2WD","Manual","carsales.com.au/dealer/details/Nissan-X-Trail-2013/OAG-AD-16173892/?Cr=13","2013"
"DealFinderItem","2WD","1.6","Petrol","null","Nissan","null","JUKE ST F15","4","22100","14000","2014 Nissan JUKE ST F15 Manual 2WD","Manual","carsales.com.au/private/details/Nissan-JUKE-2014/SSE-AD-5393725/?Cr=14","2014"
"DealFinderItem","null","1.8","Petrol","null","Holden","null","Trax LTZ TJ","4","50836","14000","2013 Holden Trax LTZ TJ Auto","Auto","carsales.com.au/private/details/Holden-Trax-2013/SSE-AD-5523864/?Cr=15","2013"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Compass Sport","4","43000","14000","2013 Jeep Compass Sport Auto","Auto","carsales.com.au/private/details/Jeep-Compass-2013/SSE-AD-4510221/?Cr=16","2013"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Patriot Sport","4","25156","14000","2013 Jeep Patriot Sport Manual 4x2","Manual","carsales.com.au/private/details/Jeep-Patriot-2013/SSE-AD-5354954/?Cr=17","2013"
"DealFinderItem","2WD","1.6","Petrol","null","Nissan","null","JUKE ST F15","4","56000","14200","2014 Nissan JUKE ST F15 Auto 2WD","Auto","carsales.com.au/private/details/Nissan-JUKE-2014/SSE-AD-5406014/?Cr=18","2014"
"DealFinderItem","2WD","1.6","Petrol","Nissan-JUKE-2013/OAG-AD-13633772","Nissan","null","JUKE ST-S F15","4","56600","14475","2013 Nissan JUKE ST-S F15 Manual 2WD","Manual","carsales.com.au/dealer/details/Nissan-JUKE-2013/OAG-AD-13633772/?Cr=19","2013"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Patriot Sport","4","53765","14499","2014 Jeep Patriot Sport Manual 4x2","Manual","carsales.com.au/private/details/Jeep-Patriot-2014/SSE-AD-5296845/?Cr=20","2014"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Patriot Sport","4","43800","14499","2014 Jeep Patriot Sport Auto 4x2","Auto","carsales.com.au/private/details/Jeep-Patriot-2014/SSE-AD-5423771/?Cr=21","2014"
"DealFinderItem","AWD","1.6","Petrol","null","Ford","null","Kuga Ambiente TF","4","32657","14500","2013 Ford Kuga Ambiente TF Auto AWD","Auto","carsales.com.au/private/details/Ford-Kuga-2013/SSE-AD-5488682/?Cr=22","2013"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Compass Sport","4","55966","14500","2013 Jeep Compass Sport Manual","Manual","carsales.com.au/private/details/Jeep-Compass-2013/SSE-AD-5334231/?Cr=23","2013"
"DealFinderItem","AWD","2.0","Petrol","null","Subaru","null","XV 2.0i G4X","4","51000","16990","2013 Subaru XV 2.0i G4X Manual AWD","Manual","carsales.com.au/private/details/Subaru-XV-2013/SSE-AD-5412968/?Cr=96","2013"
"DealFinderItem","2WD","2.0","Petrol","Mitsubishi-Outlander-2013/OAG-AD-16125027","Mitsubishi","null","Outlander ES ZJ","4","28339","16990","2013 Mitsubishi Outlander ES ZJ Auto 2WD","Auto","carsales.com.au/dealer/details/Mitsubishi-Outlander-2013/OAG-AD-16125027/?Cr=97","2013"
"DealFinderItem","null","2.0","Petrol","Jeep-Compass-2013/OAG-AD-16069366","Jeep","null","Compass North","4","25352","16990","2013 Jeep Compass North Auto","Auto","carsales.com.au/dealer/details/Jeep-Compass-2013/OAG-AD-16069366/?Cr=98","2013"
"DealFinderItem","2WD","2.0","Petrol","Mitsubishi-Outlander-2013/OAG-AD-16098227","Mitsubishi","null","Outlander LS ZJ","4","57629","16990","2013 Mitsubishi Outlander LS ZJ Auto 2WD","Auto","carsales.com.au/dealer/details/Mitsubishi-Outlander-2013/OAG-AD-16098227/?Cr=99","2013"
"DealFinderItem","2WD","1.6","Petrol","Ford-Kuga-2014/OAG-AD-15629650","Ford","null","Kuga Ambiente TF","4","56514","16990","2014 Ford Kuga Ambiente TF Manual 2WD","Manual","carsales.com.au/dealer/details/Ford-Kuga-2014/OAG-AD-15629650/?Cr=100","2014"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2016/OAG-AD-15972101","Holden","null","Trax LS TJ","4","48759","16990","2016 Holden Trax LS TJ Auto","Auto","carsales.com.au/dealer/details/Holden-Trax-2016/OAG-AD-15972101/?Cr=101","2016"
"DealFinderItem","null","1.6","Diesel","Peugeot-2008-2013/OAG-AD-16057818","Peugeot","null","2008 Outdoor","4","55084","16990","2013 Peugeot 2008 Outdoor Manual","Manual","carsales.com.au/dealer/details/Peugeot-2008-2013/OAG-AD-16057818/?Cr=102","2013"
"DealFinderItem","2WD","2.0","Petrol","Mitsubishi-ASX-2016/OAG-AD-15980176","Mitsubishi","null","ASX LS XC","4","56224","16990","2016 Mitsubishi ASX LS XC Auto 2WD","Auto","carsales.com.au/dealer/details/Mitsubishi-ASX-2016/OAG-AD-15980176/?Cr=103","2016"
"DealFinderItem","2WD","2.0","Petrol","Kia-Sportage-2014/OAG-AD-15551518","Kia","null","Sportage Si","4","57370","16990","2014 Kia Sportage Si Manual 2WD","Manual","carsales.com.au/dealer/details/Kia-Sportage-2014/OAG-AD-15551518/?Cr=104","2014"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2016/OAG-AD-15670747","Holden","null","Trax Black TJ","4","36508","16990","2016 Holden Trax Black TJ Auto","Auto","carsales.com.au/dealer/details/Holden-Trax-2016/OAG-AD-15670747/?Cr=105","2016"
"DealFinderItem","null","2.0","Petrol","null","Hyundai","null","ix35 SE","4","57100","16999","2014 Hyundai ix35 SE Auto","Auto","carsales.com.au/private/details/Hyundai-ix35-2014/SSE-AD-5504964/?Cr=106","2014"
"DealFinderItem","2WD","1.6","Petrol","Nissan-JUKE-2015/OAG-AD-15963413","Nissan","null","JUKE ST F15 Series 2","4","52124","16999","2015 Nissan JUKE ST F15 Series 2 Auto 2WD","Auto","carsales.com.au/dealer/details/Nissan-JUKE-2015/OAG-AD-15963413/?Cr=107","2015"
"DealFinderItem","null","2.0","Petrol","Jeep-Compass-2014/OAG-AD-15649177","Jeep","null","Compass Sport","4","43392","16999","2014 Jeep Compass Sport Auto","Auto","carsales.com.au/dealer/details/Jeep-Compass-2014/OAG-AD-15649177/?Cr=108","2014"
"DealFinderItem","null","2.0","Petrol","Jeep-Compass-2015/OAG-AD-16144883","Jeep","null","Compass Sport","4","36886","16999","2015 Jeep Compass Sport Auto","Auto","carsales.com.au/dealer/details/Jeep-Compass-2015/OAG-AD-16144883/?Cr=109","2015"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Compass North","4","56661","16999","2013 Jeep Compass North Auto","Auto","carsales.com.au/private/details/Jeep-Compass-2013/SSE-AD-5520005/?Cr=110","2013"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2014/OAG-AD-15671622","Holden","null","Trax LTZ TJ","4","41846","16999","2014 Holden Trax LTZ TJ Auto","Auto","carsales.com.au/dealer/details/Holden-Trax-2014/OAG-AD-15671622/?Cr=111","2014"
"DealFinderItem","2WD","2.0","Petrol","null","Kia","null","Sportage Si","4","48897","17000","2014 Kia Sportage Si Manual 2WD","Manual","carsales.com.au/private/details/Kia-Sportage-2014/SSE-AD-5466603/?Cr=112","2014"
"DealFinderItem","null","2.0","Petrol","null","Volkswagen","null","Tiguan 132TSI Pacific 5N","4","40416","17000","2013 Volkswagen Tiguan 132TSI Pacific 5N Auto 4MOTION","Auto","carsales.com.au/private/details/Volkswagen-Tiguan-2013/SSE-AD-5454524/?Cr=113","2013"
"DealFinderItem","2WD","2.0","Petrol","null","Nissan","null","X-Trail ST-L T31","4","44500","17000","2013 Nissan X-Trail ST-L T31 Auto 2WD","Auto","carsales.com.au/private/details/Nissan-X-Trail-2013/SSE-AD-5502858/?Cr=114","2013"
"DealFinderItem","null","1.6","Petrol","null","Jeep","null","Renegade Sport","4","38200","17000","2016 Jeep Renegade Sport Manual","Manual","carsales.com.au/private/details/Jeep-Renegade-2016/SSE-AD-5513890/?Cr=115","2016"
"DealFinderItem","2WD","1.6","Petrol","null","Nissan","null","JUKE Ti-S F15 Series 2","4","56000","17000","2015 Nissan JUKE Ti-S F15 Series 2 Manual 2WD","Manual","carsales.com.au/private/details/Nissan-JUKE-2015/SSE-AD-5347217/?Cr=116","2015"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Compass Sport","4","38530","17000","2015 Jeep Compass Sport Auto","Auto","carsales.com.au/private/details/Jeep-Compass-2015/SSE-AD-5316350/?Cr=117","2015"
"DealFinderItem","null","2.0","Petrol","null","Volkswagen","null","Tiguan 132TSI Pacific 5N","4","44400","17000","2013 Volkswagen Tiguan 132TSI Pacific 5N Auto 4MOTION","Auto","carsales.com.au/private/details/Volkswagen-Tiguan-2013/SSE-AD-5503124/?Cr=118","2013"
"DealFinderItem","2WD","2.0","Petrol","Mitsubishi-ASX-2016/OAG-AD-15862433","Mitsubishi","null","ASX LS XC","4","52547","17111","2016 Mitsubishi ASX LS XC Auto 2WD","Auto","carsales.com.au/dealer/details/Mitsubishi-ASX-2016/OAG-AD-15862433/?Cr=119","2016"
"DealFinderItem","null","1.6","Petrol","Peugeot-2008-2014/OAG-AD-15969980","Peugeot","null","2008 Allure","4","33900","15632","2014 Peugeot 2008 Allure Auto","Auto","carsales.com.au/dealer/details/Peugeot-2008-2014/OAG-AD-15969980/?Cr=48","2014"
"DealFinderItem","2WD","2.0","Petrol","Nissan-Dualis-2013/OAG-AD-16067021","Nissan","null","Dualis ST J10 Series 4","4","46293","15800","2013 Nissan Dualis ST J10 Series 4 Auto 2WD","Auto","carsales.com.au/dealer/details/Nissan-Dualis-2013/OAG-AD-16067021/?Cr=49","2013"
"DealFinderItem","2WD","1.6","Petrol","Nissan-JUKE-2014/OAG-AD-16033826","Nissan","null","JUKE ST F15","4","41918","15800","2014 Nissan JUKE ST F15 Auto 2WD","Auto","carsales.com.au/dealer/details/Nissan-JUKE-2014/OAG-AD-16033826/?Cr=50","2014"
"DealFinderItem","null","1.8","Petrol","null","Holden","null","Trax Active TJ","4","21000","15850","2015 Holden Trax Active TJ Manual","Manual","carsales.com.au/private/details/Holden-Trax-2015/SSE-AD-5425801/?Cr=51","2015"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2015/OAG-AD-16148343","Holden","null","Trax LS TJ","4","34000","15880","2015 Holden Trax LS TJ Auto","Auto","carsales.com.au/dealer/details/Holden-Trax-2015/OAG-AD-16148343/?Cr=52","2015"
"DealFinderItem","2WD","2.0","Petrol","Nissan-Dualis-2013/OAG-AD-16139912","Nissan","null","Dualis ST J10 Series 4","4","50725","15888","2013 Nissan Dualis ST J10 Series 4 Auto 2WD","Auto","carsales.com.au/dealer/details/Nissan-Dualis-2013/OAG-AD-16139912/?Cr=53","2013"
"DealFinderItem","null","2.0","Petrol","Kia-Sportage-2013/OAG-AD-16132811","Kia","null","Sportage Si","4","51850","15976","2013 Kia Sportage Si Manual","Manual","carsales.com.au/dealer/details/Kia-Sportage-2013/OAG-AD-16132811/?Cr=54","2013"
"DealFinderItem","2WD","2.0","Petrol","null","Nissan","null","X-Trail ST T31","4","55000","15990","2013 Nissan X-Trail ST T31 Auto 2WD","Auto","carsales.com.au/private/details/Nissan-X-Trail-2013/SSE-AD-5520129/?Cr=55","2013"
"DealFinderItem","null","1.6","Petrol","Suzuki-S-Cross-2014/OAG-AD-15977172","Suzuki","null","S-Cross GLX","4","51822","15990","2014 Suzuki S-Cross GLX Auto","Auto","carsales.com.au/dealer/details/Suzuki-S-Cross-2014/OAG-AD-15977172/?Cr=56","2014"
"DealFinderItem","null","1.8","Petrol","null","SKODA","null","Yeti 112TSI","4","39200","15990","2013 SKODA Yeti 112TSI Auto 4x4","Auto","carsales.com.au/private/details/SKODA-Yeti-2013/SSE-AD-5454165/?Cr=57","2013"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2015/OAG-AD-16090701","Holden","null","Trax LS TJ","4","50536","15990","2015 Holden Trax LS TJ Manual","Manual","carsales.com.au/dealer/details/Holden-Trax-2015/OAG-AD-16090701/?Cr=58","2015"
"DealFinderItem","null","2.0","Petrol","Jeep-Compass-2013/OAG-AD-16011003","Jeep","null","Compass Sport","4","40794","16500","2013 Jeep Compass Sport Auto","Auto","carsales.com.au/dealer/details/Jeep-Compass-2013/OAG-AD-16011003/?Cr=59","2013"
"DealFinderItem","2WD","2.0","Petrol","Nissan-Dualis-2013/OAG-AD-16051821","Nissan","null","Dualis ST J10 Series 3","4","58660","15995","2013 Nissan Dualis ST J10 Series 3 Manual 2WD","Manual","carsales.com.au/dealer/details/Nissan-Dualis-2013/OAG-AD-16051821/?Cr=60","2013"
"DealFinderItem","2WD","2.0","Petrol","Mitsubishi-ASX-2013/OAG-AD-16117525","Mitsubishi","null","ASX XB","4","34027","15997","2013 Mitsubishi ASX XB Auto 2WD","Auto","carsales.com.au/dealer/details/Mitsubishi-ASX-2013/OAG-AD-16117525/?Cr=61","2013"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Patriot Sport","4","50800","15999","2013 Jeep Patriot Sport Auto 4x2","Auto","carsales.com.au/private/details/Jeep-Patriot-2013/SSE-AD-5534148/?Cr=62","2013"
"DealFinderItem","AWD","1.6","Petrol","Ford-Kuga-2013/OAG-AD-16010863","Ford","null","Kuga Ambiente TF","4","46619","15999","2013 Ford Kuga Ambiente TF Auto AWD","Auto","carsales.com.au/dealer/details/Ford-Kuga-2013/OAG-AD-16010863/?Cr=63","2013"
"DealFinderItem","null","1.6","Petrol","Suzuki-S-Cross-2015/OAG-AD-16100010","Suzuki","null","S-Cross GL","4","49257","15999","2015 Suzuki S-Cross GL Auto","Auto","carsales.com.au/dealer/details/Suzuki-S-Cross-2015/OAG-AD-16100010/?Cr=64","2015"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2015/OAG-AD-16116846","Holden","null","Trax LS TJ","4","58054","15999","2015 Holden Trax LS TJ Auto","Auto","carsales.com.au/dealer/details/Holden-Trax-2015/OAG-AD-16116846/?Cr=65","2015"
"DealFinderItem","2WD","2.0","Petrol","null","Nissan","null","X-Trail ST T32","4","48900","15999","2015 Nissan X-Trail ST T32 Manual 2WD","Manual","carsales.com.au/private/details/Nissan-X-Trail-2015/SSE-AD-5307998/?Cr=66","2015"
"DealFinderItem","null","1.8","Petrol","null","Holden","null","Trax LS TJ","4","5000","16000","2016 Holden Trax LS TJ Auto","Auto","carsales.com.au/private/details/Holden-Trax-2016/SSE-AD-5459457/?Cr=67","2016"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Compass Blackhawk","4","55640","16000","2014 Jeep Compass Blackhawk Auto","Auto","carsales.com.au/private/details/Jeep-Compass-2014/SSE-AD-5452799/?Cr=68","2014"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Compass Sport","4","46300","16000","2014 Jeep Compass Sport Manual","Manual","carsales.com.au/private/details/Jeep-Compass-2014/SSE-AD-5225643/?Cr=69","2014"
"DealFinderItem","null","2.0","Petrol","Hyundai-ix35-2014/OAG-AD-16120809","Hyundai","null","ix35 Trophy","4","59915","16000","2014 Hyundai ix35 Trophy Manual","Manual","carsales.com.au/dealer/details/Hyundai-ix35-2014/OAG-AD-16120809/?Cr=70","2014"
"DealFinderItem","2WD","1.6","Petrol","null","Suzuki","null","Vitara RT-S","4","59600","16111","2016 Suzuki Vitara RT-S Manual 2WD","Manual","carsales.com.au/private/details/Suzuki-Vitara-2016/SSE-AD-5520869/?Cr=71","2016"
